,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1925509,167,PAYMENT,4878.83,C1937969615,13202.0,8323.17,M860330169,0.0,0.0,0,0
389768,17,PAYMENT,1202.54,C1376411092,431560.83,430358.29,M448066107,0.0,0.0,0,0
5467632,379,CASH_IN,10840.11,C533758630,9032805.72,9043645.83,C150909664,274784.84,263944.73,0,0
5986726,408,DEBIT,2326.42,C1262554076,60952.0,58625.58,C1372862295,303184.28,305510.7,0,0
2794546,216,TRANSFER,515795.26,C1145128461,0.0,0.0,C1573103776,3665528.05,4181323.3,0,0
3763987,279,CASH_OUT,80186.05,C1883384059,0.0,0.0,C875223496,436381.39,516567.44,0,0
1269543,135,PAYMENT,891.21,C1599022074,656.0,0.0,M470811267,0.0,0.0,0,0
3460134,257,CASH_OUT,254164.44,C611992606,167.0,0.0,C939486606,803313.83,1057478.27,0,0
6142184,545,PAYMENT,1244.84,C1553375255,0.0,0.0,M1868345993,0.0,0.0,0,0
927751,43,TRANSFER,213799.13,C871428517,0.0,0.0,C140572150,9661329.1,9875128.23,0,0
4599283,328,CASH_OUT,54301.84,C1226178683,13760.0,0.0,C632694614,0.0,54301.84,0,0
2938379,230,CASH_IN,434985.55,C383229917,1243977.08,1678962.64,C1555379907,20529662.47,20094676.91,0,0
2268317,187,CASH_OUT,46058.94,C851627553,15119.0,0.0,C1728458105,5733581.46,5779640.4,0,0
1028638,48,PAYMENT,2585.06,C665097901,131.0,0.0,M2081437221,0.0,0.0,0,0
4954410,351,CASH_IN,6521.53,C1522317268,26140.0,32661.53,C410781576,0.0,0.0,0,0
4669431,331,CASH_OUT,244096.0,C1328447544,52514.0,0.0,C991275657,529364.22,773460.22,0,0
4744838,333,PAYMENT,33021.11,C1476539760,0.0,0.0,M238303127,0.0,0.0,0,0
4747454,333,PAYMENT,5695.19,C523632645,22461.0,16765.81,M609381890,0.0,0.0,0,0
2666433,210,CASH_OUT,165686.01,C399182216,119271.0,0.0,C1096144831,487313.27,652999.27,0,0
6263324,612,PAYMENT,1387.08,C1125414620,0.0,0.0,M683929596,0.0,0.0,0,0
2658071,210,CASH_OUT,75846.84,C894552257,815.0,0.0,C1976520036,0.0,75846.84,0,0
4109958,302,PAYMENT,5172.8,C387119480,2800.0,0.0,M1112748585,0.0,0.0,0,0
2229304,186,PAYMENT,13387.57,C1887202908,0.0,0.0,M1845574579,0.0,0.0,0,0
1811796,163,CASH_OUT,122951.12,C2027964663,0.0,0.0,C759357488,7902103.72,8025054.84,0,0
2528214,205,CASH_OUT,143532.21,C1327675676,0.0,0.0,C1593115162,3051619.14,3195151.35,0,0
2611531,208,CASH_OUT,186502.51,C2112280204,141212.0,0.0,C278450802,0.0,186502.51,0,0
1904531,165,CASH_OUT,123237.9,C1045072891,0.0,0.0,C841442286,310063.18,433301.08,0,0
659869,35,PAYMENT,18849.01,C54564301,42173.14,23324.13,M1949447591,0.0,0.0,0,0
4431829,322,TRANSFER,3501457.88,C968421846,8876.0,0.0,C1874473857,134887.11,3636344.99,0,0
1428345,139,CASH_OUT,104357.07,C1211947373,0.0,0.0,C307073016,243458.68,347815.75,0,0
602597,34,CASH_OUT,228170.97,C843109668,13086.0,0.0,C303035587,129262.55,357433.52,0,0
4908104,349,PAYMENT,12233.31,C806350672,0.0,0.0,M1705041825,0.0,0.0,0,0
5564590,393,CASH_OUT,112435.1,C2134250916,0.0,0.0,C96979464,315422.72,427857.82,0,0
2702024,211,CASH_IN,125507.81,C1365625848,2428.0,127935.81,C1143028452,5046358.29,5228644.37,0,0
6146138,546,PAYMENT,34303.38,C2044922038,0.0,0.0,M14206480,0.0,0.0,0,0
5152761,357,PAYMENT,10500.43,C1077660839,20789.0,10288.57,M591051013,0.0,0.0,0,0
2301477,188,CASH_IN,325533.09,C270172264,2598764.74,2924297.83,C1375846888,933010.86,607477.77,0,0
5043536,354,PAYMENT,12607.12,C2140207331,201627.32,189020.19,M906727061,0.0,0.0,0,0
4945423,351,CASH_OUT,170728.31,C641523848,809.0,0.0,C2001263601,680785.09,851513.4,0,0
892695,42,PAYMENT,7128.34,C1447501802,0.0,0.0,M1887304724,0.0,0.0,0,0
918054,43,CASH_IN,43804.26,C956355586,9194227.94,9238032.2,C9198516,166861.0,123056.74,0,0
4291914,307,PAYMENT,16331.37,C307715049,31148.0,14816.63,M756050697,0.0,0.0,0,0
4248652,306,CASH_IN,36655.62,C636210503,4147161.14,4183816.76,C830317283,101269.76,64614.14,0,0
885122,42,CASH_OUT,67298.62,C1504493774,55405.0,0.0,C853519403,539645.99,606944.61,0,0
2379098,192,PAYMENT,3682.05,C1475010647,52.0,0.0,M142451613,0.0,0.0,0,0
4393652,321,TRANSFER,2306321.26,C1985163750,14927.0,0.0,C2006206648,0.0,2306321.26,0,0
1305969,136,CASH_OUT,168499.14,C2071787629,16397.0,0.0,C211933818,192714.6,361213.74,0,0
694541,36,PAYMENT,11478.79,C817124046,153.0,0.0,M705549690,0.0,0.0,0,0
5777806,400,PAYMENT,4908.78,C1537882432,31553.0,26644.22,M593108346,0.0,0.0,0,0
5508528,380,CASH_OUT,51110.92,C1089469834,18562.12,0.0,C1537471880,8199359.84,8250470.76,0,0
4976350,352,PAYMENT,8251.9,C1656593910,0.0,0.0,M1531863489,0.0,0.0,0,0
985890,45,TRANSFER,435987.95,C514636800,0.0,0.0,C229859092,835634.09,1271622.04,0,0
1239549,134,CASH_IN,65609.02,C1887046733,4168691.76,4234300.78,C127239948,76015.59,10406.57,0,0
536972,21,CASH_IN,318729.57,C1779100865,772761.39,1091490.95,C1655192155,1317816.48,999086.92,0,0
374555,17,CASH_IN,75915.44,C1599173115,5096.0,81011.44,C160967008,1656719.09,1580803.65,0,0
3791783,280,CASH_IN,115451.89,C1643595194,25814.0,141265.89,C435124419,437711.39,322259.5,0,0
1929000,168,PAYMENT,8904.15,C660359091,192.0,0.0,M1967990644,0.0,0.0,0,0
182646,13,DEBIT,3423.46,C1831813673,274.0,0.0,C867506288,139151.49,232430.69,0,0
1452398,140,PAYMENT,8034.24,C1798094403,0.0,0.0,M376102570,0.0,0.0,0,0
5909614,404,CASH_IN,181172.92,C1794362723,688.0,181860.92,C1583506307,0.0,0.0,0,0
5815602,401,CASH_OUT,144810.68,C1123476803,0.0,0.0,C1969699160,4165658.57,4310469.25,0,0
3068563,235,CASH_IN,103693.7,C1067285461,1917570.43,2021264.13,C1099128610,204592.62,100898.92,0,0
6290892,661,CASH_OUT,29918.87,C1574279938,0.0,0.0,C725172472,1228201.3,1258120.18,0,0
3405263,255,CASH_OUT,310193.18,C1818536287,276826.26,0.0,C1655220235,1014542.86,1324736.04,0,0
1338868,137,PAYMENT,12295.18,C1764759701,29930.0,17634.82,M315448128,0.0,0.0,0,0
5585680,394,PAYMENT,31029.55,C2002271638,121.0,0.0,M930453405,0.0,0.0,0,0
566674,23,PAYMENT,19567.1,C130092108,209.0,0.0,M1224512130,0.0,0.0,0,0
3348041,253,PAYMENT,37615.94,C334881891,25066.0,0.0,M1989544086,0.0,0.0,0,0
1541908,154,CASH_OUT,20843.84,C1226536156,20545.0,0.0,C886286975,0.0,20843.84,0,0
2470857,204,CASH_OUT,96151.83,C1787439634,20530.0,0.0,C235687964,0.0,96151.83,0,0
1904254,165,PAYMENT,10938.31,C610297064,2895.0,0.0,M900336726,0.0,0.0,0,0
1229930,133,CASH_OUT,17067.85,C1115380679,0.0,0.0,C1503636069,55684.14,72752.0,0,0
1489029,142,TRANSFER,1010115.9,C1695141466,353183.47,0.0,C148078210,1461399.93,2471515.83,0,0
839696,41,CASH_IN,389668.12,C869630670,20844.0,410512.12,C1273194608,1841693.08,1452024.96,0,0
605131,34,PAYMENT,22422.14,C1715729018,36443.0,14020.86,M672496495,0.0,0.0,0,0
3808673,281,PAYMENT,3557.46,C1867244241,66734.21,63176.75,M278067895,0.0,0.0,0,0
2413311,202,CASH_OUT,424000.06,C804451794,70361.0,0.0,C1302879718,27226.36,451226.42,0,0
3323517,253,CASH_OUT,133633.99,C606595843,0.0,0.0,C1407103386,354458.76,488092.74,0,0
4713448,332,CASH_OUT,170080.64,C105097609,18722.0,0.0,C1704206406,1086102.98,1256183.62,0,0
5321628,374,CASH_OUT,346247.75,C349041194,437825.85,91578.1,C650119684,2768876.97,3115124.72,0,0
3442841,257,CASH_OUT,68744.55,C1907637586,0.0,0.0,C457855110,959151.72,1027896.27,0,0
5350982,375,PAYMENT,5289.4,C227979488,69412.0,64122.6,M264218257,0.0,0.0,0,0
3343825,253,TRANSFER,286497.41,C1568455644,0.0,0.0,C661257082,437339.37,723836.79,0,0
5440815,378,PAYMENT,20321.41,C1545618682,0.0,0.0,M1757837594,0.0,0.0,0,0
5905174,403,PAYMENT,22721.72,C2032581305,15935.0,0.0,M812896299,0.0,0.0,0,0
2031213,180,CASH_OUT,349275.38,C440008795,99627.0,0.0,C509416404,0.0,349275.38,0,0
447924,19,PAYMENT,13267.76,C1328028290,0.0,0.0,M1734957405,0.0,0.0,0,0
4101738,301,TRANSFER,154294.18,C32934374,119654.0,0.0,C498815638,25016.1,179310.28,0,0
2422443,202,CASH_IN,59990.77,C114672572,25947892.03,26007882.8,C2138363010,5391374.14,5331383.37,0,0
5022071,353,PAYMENT,10738.02,C463620743,0.0,0.0,M1261758002,0.0,0.0,0,0
592023,33,PAYMENT,12908.97,C2111287278,30926.0,18017.03,M1892348520,0.0,0.0,0,0
2072264,182,CASH_OUT,185152.82,C337074314,5268.0,0.0,C1706688092,242382.65,427535.47,0,0
42031,9,PAYMENT,15462.86,C992519502,13897.0,0.0,M894811315,0.0,0.0,0,0
3690096,277,PAYMENT,2596.05,C520409924,20559.0,17962.95,M707301387,0.0,0.0,0,0
5074321,355,TRANSFER,593384.26,C1991889646,0.0,0.0,C127942211,738062.61,1331446.86,0,0
3029525,233,CASH_OUT,44340.16,C1775135121,0.0,0.0,C927591425,2203536.14,2247876.3,0,0
1531364,154,CASH_IN,98364.12,C1462104188,26911181.13,27009545.25,C1322450827,5254906.03,5156541.91,0,0
4824773,346,CASH_OUT,346543.77,C1445541374,0.0,0.0,C1017027931,801061.18,1147604.95,0,0
2958755,230,CASH_IN,222344.16,C1274107625,24411.0,246755.16,C1413947880,47360.46,0.0,0,0
977086,44,PAYMENT,2533.79,C1889929470,0.0,0.0,M1560909452,0.0,0.0,0,0
3067526,235,CASH_OUT,298262.4,C1589128771,792.0,0.0,C288360699,74829.79,373092.18,0,0
2371084,191,CASH_OUT,16868.65,C55859158,0.0,0.0,C1413810305,1177866.36,1194735.01,0,0
2482008,204,CASH_IN,51752.71,C731216230,61243.0,112995.71,C1357264172,385479.53,333726.82,0,0
2244632,186,CASH_OUT,143547.15,C1266920718,5979.0,0.0,C1687871648,0.0,143547.15,0,0
820272,40,CASH_OUT,152676.34,C1651424200,767652.68,614976.34,C1426101375,0.0,152676.34,0,0
2600150,208,CASH_OUT,106096.01,C169692166,11257.0,0.0,C1626791432,39530.35,61542.27,0,0
6320266,687,CASH_OUT,119686.76,C87107321,3897.0,0.0,C671471142,3853450.45,3973137.21,0,0
2258396,187,PAYMENT,8715.2,C138443287,189135.0,180419.8,M1169108190,0.0,0.0,0,0
6053825,495,PAYMENT,7945.05,C536017885,35071.77,27126.73,M1475473136,0.0,0.0,0,0
1432377,139,CASH_IN,43429.34,C1209302209,3538634.87,3582064.21,C1533936166,186933.54,143504.19,0,0
4444290,323,CASH_OUT,240281.87,C630218071,0.0,0.0,C814254630,938715.42,1178997.3,0,0
513756,20,TRANSFER,1248741.06,C756042422,0.0,0.0,C861230264,1258680.29,2507421.36,0,0
6113901,527,PAYMENT,34359.45,C717702722,27638.12,0.0,M450526568,0.0,0.0,0,0
4439574,323,CASH_OUT,145794.34,C820392816,0.0,0.0,C242478998,7182496.42,7328290.76,0,0
4458136,323,PAYMENT,2400.29,C1119851141,0.0,0.0,M1887350460,0.0,0.0,0,0
685846,36,CASH_OUT,56118.68,C1777041884,0.0,0.0,C123144006,819767.19,1112740.68,0,0
3530870,259,CASH_IN,200126.14,C1414408781,6582310.96,6782437.1,C1779126949,2441926.98,2241800.84,0,0
1675571,159,CASH_OUT,136615.38,C1448706287,132590.0,0.0,C1691648060,79347.22,215962.6,0,0
864695,42,CASH_OUT,12871.3,C68654806,24744.0,11872.7,C1683029387,1314188.48,1378099.48,0,0
4314127,308,TRANSFER,3917051.81,C1426119451,0.0,0.0,C1302803707,12122165.36,16039217.17,0,0
1314413,136,PAYMENT,2160.42,C1522876668,0.0,0.0,M409466221,0.0,0.0,0,0
3187192,240,PAYMENT,23000.79,C98159139,2247.79,0.0,M543648479,0.0,0.0,0,0
6116225,527,CASH_OUT,277427.65,C1411852071,14468.75,0.0,C1527477896,980475.79,1257903.44,0,0
170617,12,CASH_OUT,267533.1,C2043117077,0.0,0.0,C411227408,275079.73,1595611.89,0,0
1732652,161,PAYMENT,5002.65,C1157005475,91632.62,86629.96,M1400679931,0.0,0.0,0,0
5151001,357,PAYMENT,12656.77,C2133526247,1994.0,0.0,M1206060576,0.0,0.0,0,0
2298970,188,PAYMENT,6887.85,C1701755790,6008.0,0.0,M1927350366,0.0,0.0,0,0
5268440,372,PAYMENT,6078.72,C553693190,25113.0,19034.28,M2020913736,0.0,0.0,0,0
3267630,251,CASH_OUT,302438.53,C1952208706,0.0,0.0,C69589225,14697090.01,14999528.54,0,0
3394458,255,CASH_OUT,90999.81,C1118272995,0.0,0.0,C753884011,1701178.62,1792178.43,0,0
3548301,260,CASH_OUT,41163.05,C1887235369,20650.0,0.0,C2030312279,7899024.6,7940187.65,0,0
270102,15,CASH_OUT,173453.15,C708987398,0.0,0.0,C1316168429,484690.1,990236.78,0,0
1431478,139,CASH_IN,113237.26,C1570981430,1638151.07,1751388.33,C879842377,419670.81,306433.55,0,0
3079937,235,CASH_OUT,356388.32,C563555420,51680.0,0.0,C2073167443,0.0,356388.32,0,0
5630978,395,PAYMENT,23130.89,C1814730826,0.0,0.0,M421607416,0.0,0.0,0,0
1701195,159,PAYMENT,348.01,C1637100721,375119.48,374771.48,M877781343,0.0,0.0,0,0
33537,8,PAYMENT,4300.02,C885776185,31530.0,27229.98,M416060937,0.0,0.0,0,0
177675,12,CASH_IN,138336.97,C1128540132,83909.73,222246.69,C431559844,528841.4,60901.0,0,0
791384,40,PAYMENT,17891.01,C981858561,49470.17,31579.16,M568120175,0.0,0.0,0,0
2392018,201,CASH_IN,307042.66,C922547212,5122305.12,5429347.78,C1227928722,2105137.03,1590026.78,0,0
5826226,402,CASH_IN,382657.77,C1915873651,47567.0,430224.77,C610717957,0.0,0.0,0,0
3035283,234,PAYMENT,1085.83,C1342649756,484077.96,482992.13,M311982058,0.0,0.0,0,0
4180681,304,CASH_OUT,79773.05,C775997844,0.0,0.0,C710162814,426587.5,506360.55,0,0
1235305,134,CASH_IN,116612.64,C1308902885,119213.0,235825.64,C1922875133,335504.09,218891.46,0,0
5571654,393,CASH_OUT,31428.91,C2076308516,12089.0,0.0,C968903141,0.0,31428.91,0,0
2017343,180,TRANSFER,282642.19,C870387222,0.0,0.0,C1681382440,1532592.68,1815234.87,0,0
782203,39,CASH_OUT,208167.73,C633091253,61674.81,0.0,C1821993758,271909.71,480077.43,0,0
6323125,688,CASH_OUT,228911.03,C653927278,0.0,0.0,C463684840,1201591.91,1430502.93,0,0
847150,41,PAYMENT,7794.36,C100553598,0.0,0.0,M375508745,0.0,0.0,0,0
5700570,398,CASH_IN,68115.44,C332798439,6087604.51,6155719.96,C298251125,3624002.85,3555887.41,0,0
3332689,253,CASH_IN,94736.66,C990300380,24694.0,119430.66,C416078784,2606302.6,2511565.94,0,0
2839089,226,TRANSFER,253229.23,C1900188702,0.0,0.0,C1717547480,4144348.77,4397577.99,0,0
3091854,235,CASH_IN,71675.99,C1968450324,74.0,71749.99,C686282483,3641996.64,3570320.65,0,0
6126517,540,CASH_OUT,248385.25,C674859681,0.0,0.0,C573256870,917482.13,1165867.38,0,0
1506226,144,PAYMENT,12748.54,C2121379729,56549.73,43801.2,M496567639,0.0,0.0,0,0
4163914,304,CASH_OUT,131843.42,C968679316,0.0,0.0,C870869979,6482643.21,6614486.62,0,0
4359751,309,CASH_OUT,85769.12,C1331292416,9091.0,0.0,C546541055,2885926.78,2971695.89,0,0
4187587,305,CASH_IN,136988.85,C1042093605,455032.11,592020.96,C320833069,371268.14,234279.28,0,0
4791226,345,PAYMENT,4901.64,C1089832960,12821.0,7919.36,M2031928173,0.0,0.0,0,0
3080415,235,PAYMENT,6882.68,C1042405111,34344.0,27461.32,M144468589,0.0,0.0,0,0
229420,14,PAYMENT,2747.26,C261504357,12280.0,9532.74,M1531691515,0.0,0.0,0,0
371663,17,PAYMENT,16579.59,C845970522,0.0,0.0,M1174859942,0.0,0.0,0,0
3037098,234,CASH_OUT,96734.56,C2022035182,0.0,0.0,C22827484,1705140.11,1801874.67,0,0
1384039,138,PAYMENT,30598.97,C1949895218,0.0,0.0,M1620592882,0.0,0.0,0,0
2322929,188,PAYMENT,6528.07,C190476303,12071.27,5543.2,M1816115603,0.0,0.0,0,0
6207010,587,TRANSFER,42698.8,C1019480605,0.0,0.0,C2117457027,1526526.2,1569225.0,0,0
3454234,257,PAYMENT,19292.42,C1028942082,73125.0,53832.58,M146374116,0.0,0.0,0,0
4392512,321,PAYMENT,7489.2,C1704261623,16057.0,8567.8,M435118658,0.0,0.0,0,0
6082584,522,TRANSFER,645593.99,C960680809,0.0,0.0,C1413391945,1195058.0,1840651.99,0,0
3701378,277,CASH_IN,87858.64,C187496003,9596816.79,9684675.43,C339708050,592633.24,504774.61,0,0
492800,20,CASH_OUT,25171.16,C2125681074,86787.0,61615.84,C1931230521,608295.79,815229.88,0,0
1642081,157,CASH_OUT,75051.1,C736656251,0.0,0.0,C643182608,125554.64,79284.5,0,0
4609876,329,PAYMENT,6023.67,C277452218,39.0,0.0,M1247267714,0.0,0.0,0,0
6152310,546,PAYMENT,13384.09,C492627473,0.0,0.0,M755557839,0.0,0.0,0,0
1582830,155,CASH_OUT,30903.69,C2092387956,2198.0,0.0,C902225434,459221.3,490124.99,0,0
3720380,278,PAYMENT,14663.08,C706954840,124305.0,109641.92,M1269106913,0.0,0.0,0,0
4465936,324,CASH_IN,147309.46,C1156546773,76141.0,223450.46,C572077362,0.0,0.0,0,0
3601429,263,PAYMENT,890.15,C753795012,15234.0,14343.85,M1189101400,0.0,0.0,0,0
1951173,178,PAYMENT,4540.11,C1641156603,20344.0,15803.89,M581670518,0.0,0.0,0,0
4129488,302,CASH_OUT,117933.33,C456750092,0.0,0.0,C234034447,286987.7,404921.03,0,0
2405786,202,TRANSFER,489329.12,C351426804,0.0,0.0,C1407589372,712654.6,1201983.72,0,0
5832450,402,CASH_OUT,56453.09,C1293226851,0.0,0.0,C1022204768,229825.62,286278.71,0,0
3959564,289,CASH_IN,64327.76,C1317040542,3348698.76,3413026.52,C1534822499,330360.67,266032.91,0,0
1511535,153,TRANSFER,52892.15,C1510375369,0.0,0.0,C2009668592,1774025.35,1826917.5,0,0
5564768,393,CASH_OUT,118253.26,C615359066,277148.0,158894.74,C1641561110,302698.19,420951.45,0,0
4917747,350,TRANSFER,909428.87,C1684683165,29102.0,0.0,C1913296956,0.0,909428.87,0,0
3615746,273,CASH_OUT,94811.52,C348683458,0.0,0.0,C787101159,324309.69,419121.21,0,0
4905089,349,CASH_OUT,74902.97,C692123195,231589.0,156686.03,C1294614081,0.0,74902.97,0,0
3558244,260,CASH_OUT,438072.23,C1224821829,0.0,0.0,C1344569989,1419268.33,1857340.56,0,0
1241611,134,CASH_IN,210616.2,C18645111,797973.26,1008589.46,C1108189619,740523.3,529907.1,0,0
316263,16,CASH_IN,32464.25,C162031381,1714716.66,1747180.9,C872958755,222280.8,1126490.99,0,0
536262,21,PAYMENT,6072.51,C574735986,16809.0,10736.49,M1631918337,0.0,0.0,0,0
27356,8,CASH_OUT,330229.15,C1788610761,0.0,0.0,C758750856,522708.14,945056.48,0,0
2963555,231,CASH_IN,167174.09,C177009321,1427638.02,1594812.11,C935423778,916489.46,749315.37,0,0
1505068,143,PAYMENT,13932.83,C611639913,149630.84,135698.01,M108360804,0.0,0.0,0,0
5626448,395,PAYMENT,23213.38,C99911794,0.0,0.0,M457137488,0.0,0.0,0,0
3462050,257,CASH_IN,6669.25,C1045138784,2990321.56,2996990.81,C149099502,153438.2,146768.95,0,0
2876484,227,CASH_IN,3056.74,C1433832574,12732971.15,12736027.89,C2133338910,10415881.04,10412824.3,0,0
2503273,204,PAYMENT,20368.79,C733797667,41052.91,20684.12,M642618729,0.0,0.0,0,0
3416953,256,TRANSFER,587527.98,C2057318725,0.0,0.0,C583927814,8329423.78,8916951.76,0,0
5536036,381,CASH_OUT,494245.63,C1579008052,66926.4,0.0,C1516909610,1251145.74,1745391.37,0,0
789400,40,CASH_OUT,68525.53,C2066613680,48051.0,0.0,C470985643,22717.0,82151.67,0,0
2591376,207,CASH_OUT,295429.75,C633528064,51558.0,0.0,C1722892454,34287.71,329717.46,0,0
5358365,375,PAYMENT,15128.73,C620388290,308960.11,293831.39,M79646191,0.0,0.0,0,0
3130572,236,PAYMENT,5765.4,C912695066,15665.0,9899.6,M1143922979,0.0,0.0,0,0
6098539,522,CASH_IN,128097.64,C998600387,47366.0,175463.64,C28324456,1229027.65,1100930.0,0,0
3799308,281,TRANSFER,172183.13,C1698409453,0.0,0.0,C1468356154,615125.99,787309.12,0,0
2793865,216,CASH_OUT,546480.74,C1024421801,0.0,0.0,C901456815,1118146.76,1664627.5,0,0
